,Daily Confirmed,Daily Deaths,Daily Recovered,Date
0,1,0,0,30 January 
1,0,0,0,31 January 
2,0,0,0,01 February 
3,1,0,0,02 February 
4,1,0,0,03 February 
5,0,0,0,04 February 
6,0,0,0,05 February 
7,0,0,0,06 February 
8,0,0,0,07 February 
9,0,0,0,08 February 
10,0,0,0,09 February 
11,0,0,0,10 February 
12,0,0,0,11 February 
13,0,0,0,12 February 
14,0,0,1,13 February 
15,0,0,0,14 February 
16,0,0,0,15 February 
17,0,0,1,16 February 
18,0,0,0,17 February 
19,0,0,0,18 February 
20,0,0,0,19 February 
21,0,0,1,20 February 
22,0,0,0,21 February 
23,0,0,0,22 February 
24,0,0,0,23 February 
25,0,0,0,24 February 
26,0,0,0,25 February 
27,0,0,0,26 February 
28,0,0,0,27 February 
29,0,0,0,28 February 
30,0,0,0,29 February 
31,0,0,0,01 March 
32,2,0,0,02 March 
33,1,0,0,03 March 
34,22,0,0,04 March 
35,2,0,0,05 March 
36,1,0,0,06 March 
37,3,0,0,07 March 
38,5,0,0,08 March 
39,9,0,0,09 March 
40,15,0,1,10 March 
41,8,0,0,11 March 
42,10,1,0,12 March 
43,10,0,6,13 March 
44,11,1,0,14 March 
45,10,0,3,15 March 
46,14,0,1,16 March 
47,20,1,1,17 March 
48,25,0,0,18 March 
49,27,1,5,19 March 
50,58,0,3,20 March 
51,78,0,0,21 March 
52,69,3,0,22 March 
53,94,2,2,23 March 
54,74,1,15,24 March 
55,86,1,3,25 March 
56,73,5,7,26 March 
57,153,3,25,27 March 
58,136,5,10,28 March 
59,120,3,17,29 March 
60,187,14,35,30 March 
61,309,6,13,31 March 
62,424,6,19,01 April 
63,486,16,22,02 April 
64,560,14,39,03 April 
65,579,13,56,04 April 
66,609,22,43,05 April 
67,484,16,65,06 April 
68,573,27,75,07 April 
69,565,20,96,08 April 
70,813,46,70,09 April 
71,871,22,151,10 April 
72,854,41,186,11 April 
73,758,42,114,12 April 
74,1243,27,112,13 April 
75,1031,37,167,14 April 
76,886,27,144,15 April 
77,1061,26,258,16 April 
78,922,38,273,17 April 
79,1371,35,426,18 April 
80,1580,38,388,19 April 
81,1239,33,419,20 April 
82,1537,53,703,21 April 
83,1292,36,394,22 April 
84,1667,40,642,23 April 
85,1408,59,484,24 April 
86,1835,44,442,25 April 
87,1607,56,585,26 April 
88,1568,58,580,27 April 
89,1902,69,636,28 April 
90,1705,71,690,29 April 
91,1801,75,630,30 April 
92,2396,77,962,01 May 
93,2564,92,831,02 May 
94,2952,140,911,03 May 
95,3656,103,1082,04 May 
96,2971,128,1295,05 May 
97,3602,91,1161,06 May 
98,3344,104,1475,07 May 
99,3339,97,1111,08 May 
100,3175,115,1414,09 May 
101,4311,112,1669,10 May 
102,3592,81,1579,11 May 
103,3562,120,1905,12 May 
104,3726,137,1963,13 May 
105,3991,97,1594,14 May 
106,3808,104,2234,15 May 
107,4794,120,4012,16 May 
108,5049,152,2538,17 May 
109,4628,131,2482,18 May 
110,6154,146,3032,19 May 
111,5720,134,3113,20 May 
112,6023,148,3131,21 May 
113,6536,142,3280,22 May 
114,6667,142,2576,23 May 
115,7111,156,3285,24 May 
116,6414,150,3012,25 May 
117,5907,173,3585,26 May 
118,7246,188,3434,27 May 
119,7254,176,3171,28 May 
120,8138,269,11735,29 May 
121,8364,205,4303,30 May 
122,8789,222,4928,31 May 
123,7723,201,3882,01 June 
124,8812,222,4531,02 June 
125,9689,259,3789,03 June 
126,9847,274,4390,04 June 
127,9472,286,4770,05 June 
128,10408,297,5433,06 June 
129,10882,261,5191,07 June 
130,8536,271,5171,08 June 
131,9981,272,5634,09 June 
132,11156,358,6275,10 June 
133,11135,394,6044,11 June 
134,11306,388,7263,12 June 
135,12039,309,8092,13 June 
136,11405,324,7358,14 June 
137,10032,396,10639,15 June 
138,11086,2004,7226,16 June 
139,13108,341,6890,17 June 
140,13829,343,10741,18 June 
141,14740,364,9029,19 June 
142,15918,308,13974,20 June 
143,15151,426,9075,21 June 
144,13560,312,10879,22 June 
145,15656,468,10462,23 June 
146,16868,424,13089,24 June 
147,18205,401,13983,25 June 
148,18255,381,10246,26 June 
149,20142,414,14229,27 June 
150,19610,384,11631,28 June 
151,18339,417,13497,29 June 
152,18256,506,12565,30 June 
153,19429,438,12064,01 July 
154,21947,378,19999,02 July 
155,22718,444,14417,03 July 
156,24018,611,14746,04 July 
157,23942,421,15829,05 July 
158,22500,473,15315,06 July 
159,23147,479,16836,07 July 
160,25561,492,19508,08 July 
161,25790,479,19408,09 July 
162,27762,520,20289,10 July 
163,27757,543,19981,11 July 
164,29106,500,18198,12 July 
165,28178,541,17683,13 July 
166,29917,587,20977,14 July 
167,32607,614,20646,15 July 
168,35468,680,22867,16 July 
169,34820,676,17476,17 July 
170,37411,543,23583,18 July 
171,40235,675,22730,19 July 
172,36806,596,24303,20 July 
173,39170,671,27589,21 July 
174,45601,1130,31875,22 July 
175,48443,755,33326,23 July 
176,48888,763,32514,24 July 
177,50072,703,37125,25 July 
178,48932,704,31512,26 July 
179,46484,642,34354,27 July 
180,49631,774,35683,28 July 
181,52479,775,32886,29 July 
182,54968,784,37425,30 July 
183,57486,764,36554,31 July 
184,55117,854,51368,01 August 
185,52672,760,40355,02 August 
186,50488,806,43070,03 August 
187,51282,849,51220,04 August 
188,56626,919,45583,05 August 
189,62170,899,50141,06 August 
190,61455,936,50387,07 August 
191,65156,875,52135,08 August 
192,62117,1013,54474,09 August 
193,53016,887,47362,10 August 
194,61252,835,56461,11 August 
195,67066,950,57759,12 August 
196,64141,1006,54776,13 August 
197,65610,989,56920,14 August 
198,63986,952,53116,15 August 
199,58096,952,57404,16 August 
200,54298,880,58172,17 August 
201,65024,1099,60455,18 August 
202,69196,979,59365,19 August 
203,68518,981,61873,20 August 
204,69029,953,62858,21 August 
205,70067,918,59101,22 August 
206,61749,846,56896,23 August 
207,59696,854,66305,24 August 
208,66873,1066,64151,25 August 
209,75995,1017,56191,26 August 
210,76827,1066,59620,27 August 
211,76657,1019,64475,28 August 
212,78479,943,64982,29 August 
213,79461,960,60422,30 August 
214,68766,816,64435,31 August 
215,78168,892,62145,01 September 
216,82860,913,67874,02 September 
217,84156,979,67491,03 September 
218,87115,950,69625,04 September 
219,90600,916,73161,05 September 
220,91725,1005,69630,06 September 
221,75015,1129,74116,07 September 
222,89855,1107,74608,08 September 
223,95536,1168,73062,09 September 
224,96762,1213,70904,10 September 
225,97655,1202,81456,11 September 
226,94414,1111,77862,12 September 
227,93220,1140,77748,13 September 
228,81913,1054,79213,14 September 
229,91098,1281,82849,15 September 
230,97860,1140,82924,16 September 
231,96787,1175,87788,17 September 
232,92973,1221,95515,18 September 
233,92574,1149,94389,19 September 
234,87395,1135,92926,20 September 
235,74493,1056,102070,21 September 
236,83362,1085,89657,22 September 
237,86703,1123,87459,23 September 
238,85921,1144,81142,24 September 
239,85717,1093,93331,25 September 
240,88759,1124,92365,26 September 
241,82770,1040,74691,27 September 
242,69669,775,85198,28 September 
243,80500,1178,86150,29 September 
244,86748,1179,85274,30 September 
245,81784,1099,78731,01 October 
246,79883,1068,76339,02 October 
247,75479,937,81655,03 October 
248,74770,903,76713,04 October 
249,60130,886,75855,05 October 
250,71869,990,81945,06 October 
251,78809,963,83209,07 October 
